name,latitude,longitude,cart_x,cart_y,cart_z,rho,theta,phi,polar_x,polar_y,polar_z
arecibo,18.3441,-66.7527,0.374643265681434,-0.8721191301683343,0.3147231263729732,1.0,-1.165054399596019,1.2506313834798048,-5562495.29253447,2389526.0746435844,2007347.2170751363
boulder,40.015,-105.2705,-0.20171369272651363,-0.7388354627678498,0.6429881376224998,1.0,1.3042758233691027,0.8724028266093657,-4712393.801991746,-1286557.5669856074,4101066.4311311585
boston,42.3601,-71.0589,0.2398520067695236,-0.6989140012143936,0.6737879738872748,1.0,-1.2402117678453985,0.8314731103208466,-4457769.250963569,1529808.958900949,4297512.006405462
redwoods,41.4017,-124.0417,-0.4198982901897805,-0.6215485547660535,0.6613341212760228,1.0,0.976656578818743,0.8482003458719602,-3964321.8344498924,-2678168.8208961757,4218079.628273088
houston,29.5518,-95.0982,-0.07730283022033498,-0.8664686613248876,0.49321023041070766,1.0,1.4818159508697217,1.0550201169040363,-5526455.828136735,-493048.0416330367,3145762.4193610596
greenwich,51.4934,0.0098,0.6226047733880055,0.000106491732734176,0.7825364431219681,1.0,0.0001710422666954443,0.6720669537484485,679.2188607459591,3971058.541522653,4991124.64172462
svalbard,77.875,20.9752,0.19612663311437137,0.07518857622456013,0.977691680331046,1.0,0.36608630126431463,0.21162117180431242,479563.03999518725,1250922.5353521972,6235851.480911617
mcmurdo,-77.5,165.0,-0.20906461293484896,0.05601869420181809,-0.9762960071199334,1.0,-0.26179938779914974,2.923426497090502,357294.90618030145,-1333442.7431504386,-6226949.68596391
cairo,30.0444,31.2357,0.7401559856285986,0.44888496431360186,0.5006709555699573,1.0,0.5451658091651929,1.0464226250087123,2863049.799632264,4720816.277709234,3193347.946546101
johannesburg,-26.2056,28.0337,0.7919461261113558,0.42168290492676347,-0.4415935473144311,1.0,0.48928036651633433,2.0281703292555227,2689551.338180872,5051140.888957505,-2816544.143087424
stonehedge,51.1789,-1.8262,0.6265723688109598,-0.01997763373790247,0.779107156168429,1.0,-0.031873202799920446,0.6775560142459707,-127420.08491616405,3996364.408690829,4969252.179722635
machu picchu,-13.1632,-72.5453,0.2920705446589937,-0.9288895996193555,-0.22772551166172023,1.0,-1.2661543418470422,1.8005375068934142,-5924585.124247397,1862865.9474996799,-1452464.5117735493
cape canaveral,28.3922,-80.6077,0.14356338475538197,-0.8679199672980776,0.47550445310520695,0.9999999999999999,-1.4068697674598332,1.0752589549101625,-5535712.456462659,915666.9361535377,3032832.546015085
uluru,-25.3444,131.0369,-0.5933532219085917,0.6816876251237596,-0.42805833224435913,1.0,-0.8545673069832357,2.0131395537373473,4347897.064243981,-3784488.1387243997,-2730214.68704604
tunguska event,60.5411,101.5435,-0.09841482967734677,0.48185150926250503,0.8707087023344976,0.9999999999999999,-1.3693242445909315,0.5141547990157574,3073314.939733026,-627703.2665137835,5553499.390581645
hanle,32.7908,79.0002,0.16040138356548758,0.8252089608999832,0.5415732332756552,0.9999999999999999,1.3788135997340245,0.9984889024319399,5263295.806247736,1023061.9993702283,3454228.2773650875
reykjavík,64.147,-21.9408,0.4044798154952323,-0.16293451277470303,0.8999157868399759,1.0,-0.3829392005215718,0.45121997151809395,-1039218.644505306,2579827.6769633144,5739786.1769281635
al-qarawiyyin,34.0649,-4.9734,0.8252847371906136,-0.071816996950928,0.560131610881916,0.9999999999999999,-0.08680220501868599,0.97625166243228,-458058.64548160107,5263779.117810728,3572596.152235551
zambezi,-18.3414,36.2813,0.7651691579074267,0.5616882287996834,-0.31467839680396564,1.0,0.6332281419038187,1.8909141462201846,3582524.4745717263,4880353.717308201,-2007061.925756055
timbuktu,16.7666,-3.0026,0.9561733443161405,-0.05015443063202524,0.2884736880674994,1.0,-0.052405256120381744,1.2781639524300152,-319891.82972805353,6098604.585796515,1839924.7033897764
rockford,42.2711,-89.094,0.011700430852663092,-0.7398779589615075,0.6726393578737538,1.0,-1.5549836437718279,0.8330264533551216,-4719042.985536872,74626.95093731202,4290185.976110831
